Title,Description,Links,Publication Date
Сербия согласилась обсуждать план ЕС по нормализации отношений с Косово,"Президент Сербии Александр Вучич сообщил, что его страна готова обсуждать соглашение по нормализации отношений с Косово, предложенное Евросоюзом. Единственные пункты предложенного плана, на которые не согласна Сербия -- признание независимости республики и ее вступление в ООН, сообщил он.",https://www.kommersant.ru/doc/5843913,"Tue, 28 Feb 2023 23:52:08 +0300"

МЧС опровергло пожар в районе аэропорта в Ейске,"Пожара в аэропорту города Ейска Краснодарского края нет, сообщили ТАСС в местном управлении МЧС. Глава Ейского района Роман Бублик заявил, что недалеко от аэропорта проводятся военно-тактические учения.",https://www.kommersant.ru/doc/5843907,"Tue, 28 Feb 2023 23:29:39 +0300"

"На Украине заблокировали 18 каналов и групп, предположительно связанных с «ЧВК Рёдан»","Правоохранительные органы Украины заблокировали 18 каналов и групп, созданных для «раскручивания» молодежного движения, «дестабилизирующего внутреннюю ситуацию в стране». Более 700 человек, участвующих в движении, вызваны в полицию.",https://www.kommersant.ru/doc/5843900,"Tue, 28 Feb 2023 23:16:50 +0300"

WSJ: США могут отозвать экспортные лицензии для продажи технологий Huawei,Белый дом изучает возможность отзыва экспортных лицензий у американских поставщиков на продажу технологий китайской Huawei. Это меры могут принять в рамках очередного раунда ужесточения торговой политики по соображениям национальной безопасности.,https://www.kommersant.ru/doc/5843902,"Tue, 28 Feb 2023 23:02:58 +0300"

Академия наук Молдавии поддержала переименование молдавского языка в румынский,"Академия наук Молдавии (АНМ) поддержала предложение партии «Действие и солидарность» (PAS) о переименовании молдавского языка в румынский в государственных документах. В АНМ добавили, что их позиция неизменна.",https://www.kommersant.ru/doc/5843883,"Tue, 28 Feb 2023 22:44:01 +0300"

В Краснодарском крае из-за хакерских атак отменили проверку систем оповещения,"Оперативный штаб Краснодарского края сообщил об отмене проверки систем оповещения, которая должна была пройти 1 марта. Причиной стали хакерские атаки на инфраструктуру связи.",https://www.kommersant.ru/doc/5843834,"Tue, 28 Feb 2023 22:26:55 +0300"

СМИ: VK запретила сотрудникам работать удаленно не из России,"Российская технологическая компания VK запретила своим сотрудникам работать в удаленном режиме, не находясь на территории России. Об этом сообщает ТАСС со ссылкой на сообщение компании, направленное сотрудникам.",https://www.kommersant.ru/doc/5843880,"Tue, 28 Feb 2023 22:21:55 +0300"

"В Пентагоне считают, что поставка Украине истребителей F-16 при производстве с нуля займет до шести лет","Заместитель министра обороны США по политическим делам Колин Кол заявил, что поставка на Украину истребителей F-16 при их производстве с нуля может занять от трех до шести лет. По его словам, США сейчас не видят смысла обучать украинских летчиков работе с F-16.",https://www.kommersant.ru/doc/5843864,"Tue, 28 Feb 2023 22:08:48 +0300"

В России заблокировали фотобанк Shutterstock,"Доступ к фотобанку Shutterstock в России заблокирован, обратил внимание sostav.ru. Эксклюзивный представитель фотобанков в России и СНГ -- агентство Fotodom -- пояснил изданию, что Роскомнадзор ограничил доступ к сервису из-за «размещения материала, не удовлетворяющего существующим требованиям».",https://www.kommersant.ru/doc/5843857,"Tue, 28 Feb 2023 22:05:25 +0300"

Путин расширил основания введения режима особых условий в исправительных учреждениях,Президент России Владимир Путин подписал закон о регулировании прав заключенных при введении спецусловий в исправительных учреждениях. Документ расширяет основания для введения режима.,https://www.kommersant.ru/doc/5843803,"Tue, 28 Feb 2023 21:56:35 +0300"

В марте АвтоВАЗ перейдет на шестидневку на линиях Granta и Niva,"В марте АвтоВАЗ введет дополнительные рабочие субботы на линиях сборки автомобилей Granta и Niva. Компания также планирует запустить линию производства Lada Vesta NG, ее загрузка будет зависеть от поставок запчастей.",https://www.kommersant.ru/doc/5843852,"Tue, 28 Feb 2023 21:41:58 +0300"

В центре Краснодара горел ресторан «Pro Vino»,"В Краснодаре пожарные пытаются ликвидировать возгорание в здании на Кубанской набережной, из соседнего дома эвакуированы пять человек, пожару присвоен повышенный ранг опасности, сообщила пресс-служба ГУ МЧС по Краснодарскому краю. Как свидетельствуют кадры из соцсетей, горит ресторан «Pro Vino».",https://www.kommersant.ru/doc/5843867,"Tue, 28 Feb 2023 21:39:52 +0300"

"Минтруд анонсировал индексацию соцпенсий на 3,3% с 1 апреля","Социальные пенсии с 1 апреля 2023 года проиндексируют на 3,3%. Это будет сделано в дополнение к индексации на 10%, проведенной в июне 2022 года.",https://www.kommersant.ru/doc/5843835,"Tue, 28 Feb 2023 21:21:57 +0300"

Honor представил флагманский смартфон Magic5 Pro,"Компания Honor в рамках выставки Mobile World Congress в Барселоне представила смартфон Magic5 Pro — флагманскую модель, особенностью которой стала система камер. Продажи Honor Magic5 Pro начнутся во втором квартале 2023 года по цене от €1,2 тыс.",https://www.kommersant.ru/doc/5843804,"Tue, 28 Feb 2023 21:10:02 +0300"

Сергей Лавров прибыл в Нью-Дели,Министр иностранных дел России Сергей Лавров прибыл с трехдневным рабочим визитом в Нью-Дели. Видео его прибытия опубликовала в Telegram официальный представитель МИДа Мария Захарова.,https://www.kommersant.ru/doc/5843849,"Tue, 28 Feb 2023 21:01:32 +0300"

"Украина вышла из соглашений о пограничном сотрудничестве с Россией, Белоруссией и СНГ","Правительство Украины приняло решение о выходе из трех соглашений пограничного сотрудничества, заключенных с Россией, Белоруссией и СНГ. Об этом в своем Telegram-канале сообщил представитель украинского правительства в Верховной раде Тарас Мельничук.",https://www.kommersant.ru/doc/5843831,"Tue, 28 Feb 2023 20:54:08 +0300"

Глава РСПП Шохин: правительство может обсудить с бизнесом взнос в бюджет на следующей неделе,Правительство и бизнес могут обсудить условия единовременной выплаты в бюджет на следующей неделе. Об этом сообщил глава Российского союза промышленников и предпринимателей (РСПП) Александр Шохин.,https://www.kommersant.ru/doc/5843829,"Tue, 28 Feb 2023 20:45:45 +0300"

"Bloomberg: Россия наращивает поставки нефти в Индию, несмотря на растущий спрос в Китае","Россия продолжает поставлять в Индию максимально возможное количество нефти, несмотря на восстановление спроса Китая. В феврале Нью-Дели импортировал из РФ около 1,85 млн баррелей в сутки.",https://www.kommersant.ru/doc/5843819,"Tue, 28 Feb 2023 20:38:36 +0300"

Путин запретил иностранные слова в речи чиновников и документах,"Президент России Владимир Путин подписал закон, запрещающий использование иностранных слов в речи чиновников и в официальных документах. Исключения составляют только те слова, у которых нет аналогов в русском языке.",https://www.kommersant.ru/doc/5843824,"Tue, 28 Feb 2023 20:27:43 +0300"

"В Пентагоне допустили, что конфликт на Украине может длиться еще три года","Заместитель министра обороны США Колин Каль заявил, что военный конфликт России и Украины может длиться еще два-три года. По его словам, он надеется, что Конгресс США будет выступать за помощь Украине с учетом текущих оценок продолжительности конфликта.",https://www.kommersant.ru/doc/5843821,"Tue, 28 Feb 2023 20:24:59 +0300"

Сенатор призвала Генпрокуратуру проверить написавших заявление на певца Shaman,"Сенатор Елена Афанасьева заявила, что Генпрокуратура должна разобраться, кто и почему написал заявление о проверке творчества певца Ярослава Дронова (творческий псевдоним Shaman) на наличие в тексте песни «Я русский» признаков разжигания межнациональной розни. По ее мнению, заявление — «натуральное разжигание русофобии».",https://www.kommersant.ru/doc/5843816,"Tue, 28 Feb 2023 20:17:05 +0300"

"Ford запатентовала автопилот, возвращающий автомобиль за просроченный кредит","Компания Ford запатентовала (.pdf) технологии, предусматривающие различные способы борьбы с неплатежами по кредитам за автомобиль. Среди методов — блокировка некоторых функций, например GPS-навигатора или системы кондиционирования, или включение неприятного звука каждый раз, когда в автомобиль садятся.",https://www.kommersant.ru/doc/5843783,"Tue, 28 Feb 2023 20:08:11 +0300"

Microsoft добавила поисковик с ИИ в обновление Windows 11,"Microsoft начала добавлять усовершенствованную версию своего поиска Bing с искусственным интеллектом (ИИ) в обновление Windows 11. Ранее сообщалось, что Microsoft внедрила популярный чат-бот ChatGPT в Bing.",https://www.kommersant.ru/doc/5843780,"Tue, 28 Feb 2023 19:59:08 +0300"

Россия денонсировала Конвенцию об уголовной ответственности за коррупцию и договоры Совета Европы,Президент России Владимир Путин подписал закон о денонсации Конвенции об уголовной ответственности за коррупцию. Документ размещен на официальном интернет-портале правовой информации.,https://www.kommersant.ru/doc/5843794,"Tue, 28 Feb 2023 19:57:21 +0300"

Администрация Байдена намерена продлить действие закона о слежке за иностранцами вне США,"Администрация президента США Джо Байдена сообщила о желании поддержать продление действия раздела 702 федерального американского закона о негласном наблюдении в целях внешней разведки (FISA), сообщили в Белом доме. Закон позволяет вести электронное наблюдение за иностранцами за пределами Соединенных Штатов.",https://www.kommersant.ru/doc/5843791,"Tue, 28 Feb 2023 19:39:00 +0300"

ТАСС: на юго-востоке Москвы из-за похожего на гранату предмета  оцепили грузовик,"Предмет, похожий на гранату, нашли под грузовым автомобилем Hyundai Porter, припаркованным на юго-востоке Москвы, сообщил ТАСС со ссылкой на экстренные службы. Территорию вокруг машины оцепили.",https://www.kommersant.ru/doc/5843793,"Tue, 28 Feb 2023 19:29:33 +0300"

Пентагон получает сообщения о ненадлежащем использовании военной помощи на Украине,"Генеральный инспектор Минобороны США Роберт Сторч заявил, что ведомство получает информацию о ненадлежащем использовании военной помощи Украине. Сейчас в Пентагоне проводят оценку этой информации.",https://www.kommersant.ru/doc/5843784,"Tue, 28 Feb 2023 19:22:20 +0300"

NYT: Европа не готова передать Украине необходимое количество танков Leopard 2,"Европейские страны, которые участвовали в переговорах о поставке танков Leopard 2 на Украину, столкнулись со сложностями при передаче машин ВСУ, сообщила The New York Times (NYT) со ссылкой на чиновников, знакомых с ходом переговоров. Немецкие источники, в частности, сообщают, что в Швеции, которая объявила 24 февраля о готовности поставить Украине десять танков Leopard 2A5, против передачи машин ВСУ выступили военные.",https://www.kommersant.ru/doc/5843764,"Tue, 28 Feb 2023 19:16:08 +0300"

ТАСС: участвовавших в драках в ТЦ «Авиапарк» в Москве подростков поставят на профилактический учет,"Несколько десятков подростков, которые участвовали в драках в торговом центре «Авиапарк» в Москве, поставят на профилактический учет в комиссиях по делам несовершеннолетних. Об этом сообщил ТАСС со ссылкой на правоохранительные органы.",https://www.kommersant.ru/doc/5843777,"Tue, 28 Feb 2023 18:58:24 +0300"

Минобороны Приднестровья анонсировало военные сборы под началом российских миротворцев,"Министерство обороны непризнанного Приднестровья сообщило, что российский миротворческий контингент пригласил жителей республики на военные сборы. Они пройдут в течение трех месяцев и начнутся завтра, 1 марта.",https://www.kommersant.ru/doc/5843769,"Tue, 28 Feb 2023 18:46:27 +0300"

Прокуратура Ульяновской области требует признать полумиллиардный контракт ничтожным,"Арбитражный суд Ульяновской области принял к производству иск заместителя прокурора Ульяновской области Максима Гришина к ОГКУ «Ульяновскоблстройзаказчик» и ООО «ЭкоИнвест» (Москва) о признании незаконным и недействительным контракта по рекультивации полигона ТКО (на сумму 456,3 млн руб.), заключенного с единственным поставщиком работ. Контракт был заключен 19 декабря 2022 года, средства выделены в рамках федерального проекта «Чистая страна» нацпроекта «Экология».",https://www.kommersant.ru/doc/5843750,"Tue, 28 Feb 2023 18:42:13 +0300"

Генпрокуратура предложила рассматривать русофобию на Западе как экстремизм,"Генеральная прокуратура считает нужным «не оставлять без внимания» случаи проявления русофобии за рубежом. Начальник управления по надзору за исполнением законов о федеральной безопасности, межнациональных отношениях, противодействии экстремизму и терроризму Генпрокуратуры РФ Юрий Хохлов предложил квалифицировать их как проявление экстремизма.",https://www.kommersant.ru/doc/5843752,"Tue, 28 Feb 2023 18:16:23 +0300"

"СБУ сообщила об аресте активов владельца Московского опытного завода буровой техники на $1,5 млн","Суд на Украине по запросу Службы безопасности Украины (СБУ) арестовал активы российского бизнесмена Николая Сердюка на сумму 60 млн гривен ($1,5 млн по официальному курсу). Ему собираются предъявить обвинение о подозрении по ч.",https://www.kommersant.ru/doc/5843744,"Tue, 28 Feb 2023 18:11:26 +0300"

Путин подписал закон о приостановке участия России в ДСНВ,Президент России Владимир Путин подписал закон о приостановке участия России в Договоре по сокращению стратегических наступательных вооружений (ДСНВ) с США. Документ вступил в силу со дня его официального опубликования.,https://www.kommersant.ru/doc/5843759,"Tue, 28 Feb 2023 18:08:43 +0300"

"Глава МИД Казахстана заявил, что не видит угроз со стороны России","Власти Казахстана в настоящее время не ощущают и не видят каких-либо угроз со стороны России, сказал министр иностранных дел республики Мухтар Тлеуберди в ходе совместной пресс-конференции с госсекретарем США Энтони Блинкеном. При этом он подчеркнул, что Казахстан не помогает России уклоняться от санкций.",https://www.kommersant.ru/doc/5843749,"Tue, 28 Feb 2023 18:00:52 +0300"

Совладельцы Merlion подали гражданский иск против предполагаемых членов ОПС,"Совладельцы Merlion Алексей Абрамов и Олег Карчев, а также бывший совладелец Владислав Мангутов и бывший топ-менеджер компании Борис Левин обратились в СКР с требованием о признании их гражданскими истцами и возмещении вреда. Речь идет об уголовном деле, по которому истцы признаны потерпевшими.",https://www.kommersant.ru/doc/5843717,"Tue, 28 Feb 2023 17:49:56 +0300"

Миронов: правительство не поддержало закон о ЧВК из-за угроз безопасности государству,"Правительство России не поддержало законопроект о работе частных военных компаний (ЧВК) в России, сообщила пресс-служба лидера думской фракции  «Справедливой России — За правду» (СРЗП) Сергея Миронова. Господин Миронов утверждает, что при отказе в кабмине сослались на то, что законопроект противоречит ч.",https://www.kommersant.ru/doc/5843724,"Tue, 28 Feb 2023 17:39:55 +0300"

Глава ВТБ предложил запустить детские депозиты,"Глава ВТБ Андрей Костин предложил расширить линейку банковских депозитов за счет их запуска для конкретных групп населения. По его словам, множество россиян не имеют сбережений, в том числе молодые семьи с детьми, которые нуждаются в поддержке.",https://www.kommersant.ru/doc/5843729,"Tue, 28 Feb 2023 17:31:18 +0300"

Службу в МВД могут исключить из числа отягчающих преступление обстоятельств,"Государственная дума приняла в первом чтении законопроект, который предлагает больше не рассматривать работу в органах внутренних дел в качестве обстоятельства, отягчающего уголовную ответственность правонарушителя. Законопроект предлагает исключить пункт «о» (совершение умышленного преступления сотрудником органа внутренних дел) из ст.",https://www.kommersant.ru/doc/5843718,"Tue, 28 Feb 2023 17:24:32 +0300"

"ЦБ ожидает, что в марте банки ужесточат стандарты выдачи кредитов","Директор департамента финансовой стабильности Банка России Елизавета Данилова заявила, что регулятор ожидает ужесточения стандартов выдачи кредитов банками в феврале и марте. По ее словам, им придется пойти на такие меры, чтобы вписаться в ограничения на выдачу кредитов и займов заемщикам с высоким показателем долговой нагрузки (ПНД) на длительные сроки.",https://www.kommersant.ru/doc/5843710,"Tue, 28 Feb 2023 17:11:11 +0300"

«Интерфакс»: размер взноса бизнеса в бюджет может составить около 5% от прироста прибыли за 2021–2022 годы,"Размер разового взноса крупных компаний в российский бюджет может составить около 5% от разницы между суммарной прибылью крупных компаний за 2021–2022 годы и 2018–2019 годы, сообщает «Интерфакс» со ссылкой на источники, знакомые с ходом переговоров властей с крупным бизнесом. Собеседник агентства уточнил, что 2020 год не входит в расчеты предлагаемой формулы из-за пандемии.",https://www.kommersant.ru/doc/5843695,"Tue, 28 Feb 2023 16:59:19 +0300"

Новым зампредом ЦБ назначен Валерий Казарин,Валерий Казарин назначен на должность заместителя председателя Банка России с 1 марта. Прежде он возглавлял департамент проектов и процессов.,https://www.kommersant.ru/doc/5843702,"Tue, 28 Feb 2023 16:52:47 +0300"

Финляндия начала строить забор на границе с Россией,"В районе пограничного перехода «Иматра»—«Светогорск» на финско-российской границе началось строительство ограждения с финской стороны. Работы планируется завершить к концу июня, сообщает финское издание Yle.",https://www.kommersant.ru/doc/5843691,"Tue, 28 Feb 2023 16:37:35 +0300"
